Pressure,Altitude,Temperature,Dew_point,Wind_direction,Wind_speed
930,779,22.2,12.5,223,35.4
929.5,784,22.1,12.5,223,35.6
929,789,22.1,12.5,223,35.6
928.5,793,22,12.5,223,35.6
928,798,22,12.5,223,35.6
927.6,801,22,12.5,224,35.6
927.2,806,21.9,12.5,224,35.6
926.7,810,21.9,12.5,224,35.8
926.2,815,21.9,12.5,224,35.8
925.7,820,21.9,12.5,224,35.8
925.1,825,21.8,12.5,224,35.8
925,826,21.8,12.5,224,35.8
924.5,830,21.8,12.5,224,35.8
924,835,21.7,12.5,225,35.8
923.5,840,21.7,12.5,225,35.8
923.1,844,21.6,12.5,225,35.8
922.6,848,21.6,12.5,225,35.8
922.2,852,21.6,12.4,225,35.6
921.7,857,21.5,12.4,226,35.6
921.1,863,21.5,12.4,226,35.4
920.5,868,21.5,12.4,226,35.4
919.9,874,21.5,12.2,226,35.2
919.3,879,21.6,11.9,227,35.2
918.8,884,21.7,11.7,227,35
918.4,889,21.8,11.6,227,34.8
917.9,893,21.9,11.7,228,34.6
917.5,897,21.9,11.7,228,34.6
917,902,21.8,11.7,228,34.4
916.4,907,21.8,11.6,229,34.2
915.8,913,21.8,11.6,229,34
915.1,919,21.7,11.5,230,33.8
914.4,926,21.7,11.4,230,33.6
913.8,931,21.7,11.3,231,33.2
913.3,936,21.7,11.2,232,33
912.8,941,21.8,11,232,32.9
912.4,945,21.8,11,233,32.7
911.9,950,21.8,10.9,233,32.5
911.4,954,21.8,10.9,234,32.3
911,959,21.7,10.9,235,32.1
910.5,963,21.7,10.8,235,31.9
910,968,21.7,10.7,236,31.7
909.5,973,21.7,10.6,237,31.5
908.9,978,21.8,10.6,238,31.3
908.4,983,21.7,10.5,238,31.1
907.8,989,21.7,10.4,239,31.1
907.2,994,21.7,10.3,240,30.9
906.7,999,21.7,10.3,240,30.7
906.2,1004,21.7,10.2,241,30.7
905.7,1009,21.7,10.1,242,30.5
905.1,1014,21.7,10,243,30.3
904.6,1020,21.7,10,243,30.3
903.9,1026,21.7,10,244,30.3
903.3,1031,21.6,9.9,245,30.1
902.8,1037,21.6,9.7,245,30.1
902.2,1042,21.7,9.4,246,30.1
901.7,1048,21.8,9.2,247,30.1
901.2,1053,21.9,9.1,247,29.9
900.6,1057,21.9,9,248,29.9
900.1,1063,21.9,8.9,249,29.9
899.6,1068,21.9,8.7,249,29.9
899,1073,22,8.5,250,29.9
898.5,1079,22.1,8.3,251,29.9
897.9,1084,22.1,8.1,251,30.1
897.4,1089,22.1,8.1,252,30.1
896.8,1094,22.1,8,252,30.1
896.2,1100,22.1,7.9,253,30.1
895.7,1106,22.1,7.9,253,30.1
895.1,1111,22.1,7.8,254,30.3
894.6,1116,22,7.8,255,30.3
894,1122,22,7.7,255,30.3
893.4,1128,22,7.7,256,30.3
892.8,1133,22,7.6,256,30.5
892.3,1138,21.9,7.5,257,30.5
891.8,1143,21.9,7.4,257,30.5
891.3,1148,21.9,7.3,258,30.5
890.8,1153,21.9,7.2,258,30.7
890.3,1158,21.9,7.2,258,30.7
889.7,1164,21.8,7.1,259,30.7
889.2,1169,21.8,7.1,259,30.9
888.6,1174,21.8,7,260,30.9
888.1,1179,21.8,6.9,260,30.9
887.6,1184,21.8,6.8,261,31.1
887.1,1189,21.7,6.8,261,31.1
886.5,1194,21.7,6.8,262,31.3
886,1200,21.6,6.8,262,31.3
885.4,1206,21.6,6.8,262,31.3
884.8,1212,21.5,6.8,263,31.5
884.2,1218,21.5,6.7,263,31.5
883.6,1223,21.4,6.6,264,31.5
883,1229,21.4,6.3,264,31.7
882.5,1234,21.5,6,264,31.7
882,1239,21.6,5.7,265,31.7
881.5,1244,21.6,5.6,265,31.9
881.1,1248,21.6,5.7,266,31.9
880.6,1252,21.6,5.7,266,31.9
880.2,1257,21.5,5.7,266,31.9
879.6,1262,21.5,5.7,267,32.1
879.1,1268,21.4,5.7,267,32.1
878.5,1273,21.4,5.7,267,32.1
877.9,1279,21.3,5.7,267,32.1
877.3,1285,21.3,5.6,268,32.1
876.7,1291,21.3,5.5,268,32.1
876.2,1296,21.3,5.3,268,32.1
875.6,1302,21.4,5.1,269,32.1
875.1,1307,21.4,5,269,31.9
874.6,1312,21.4,5,269,31.9
874,1318,21.4,4.9,269,31.9
873.4,1324,21.3,5,269,31.9
872.8,1329,21.3,5,270,31.9
872.3,1335,21.2,5,270,31.7
871.7,1340,21.2,4.9,270,31.7
871.2,1345,21.1,4.9,270,31.7
870.7,1350,21.1,4.9,271,31.7
870.2,1356,21,4.9,271,31.5
869.7,1361,21,4.9,271,31.5
869.1,1366,20.9,4.9,271,31.5
868.5,1372,20.9,4.9,271,31.5
867.9,1378,20.8,4.8,272,31.5
867.3,1384,20.9,4.8,272,31.5
866.8,1389,20.9,4.8,272,31.5
866.2,1395,20.8,4.7,272,31.5
865.7,1400,20.8,4.7,272,31.5
865.2,1406,20.8,4.7,273,31.7
864.6,1411,20.7,4.7,273,31.7
864.2,1416,20.7,4.7,273,31.7
863.7,1420,20.6,4.7,273,31.9
863.2,1425,20.6,4.7,273,31.9
862.7,1430,20.5,4.7,273,31.9
862.1,1436,20.5,4.7,274,32.1
861.5,1442,20.4,4.8,274,32.1
861,1447,20.4,4.8,274,32.3
860.5,1452,20.4,4.8,274,32.3
860,1457,20.3,4.8,274,32.5
859.5,1462,20.3,4.8,274,32.5
858.9,1468,20.2,4.8,274,32.7
858.3,1474,20.2,4.8,275,32.7
857.7,1480,20.1,4.8,275,32.9
857.1,1486,20,4.7,275,32.9
856.6,1492,20,4.7,275,32.9
856,1497,19.9,4.7,275,32.9
855.4,1504,19.9,4.7,275,33
854.8,1509,19.8,4.7,275,33
854.3,1515,19.8,4.7,275,33
853.7,1521,19.7,4.6,276,33
853.1,1527,19.7,4.6,276,33
852.5,1533,19.6,4.6,276,33
851.9,1538,19.5,4.7,276,33
851.4,1544,19.5,4.6,276,32.9
850.8,1550,19.4,4.6,276,32.9
850.2,1556,19.4,4.6,276,32.9
850,1558,19.4,4.6,276,32.9
849.5,1563,19.3,4.6,276,32.9
848.8,1570,19.3,4.6,276,32.7
848.1,1577,19.2,4.5,277,32.7
847.5,1583,19.1,4.5,277,32.7
846.9,1589,19.1,4.5,277,32.5
846.4,1594,19,4.5,277,32.5
845.9,1599,19,4.5,277,32.5
845.4,1604,18.9,4.5,277,32.3
844.9,1609,18.9,4.5,277,32.3
844.3,1615,18.8,4.6,277,32.3
843.7,1622,18.8,4.5,277,32.1
843.1,1628,18.7,4.5,277,32.1
842.5,1634,18.7,4.5,277,32.1
841.9,1640,18.6,4.5,277,32.1
841.4,1645,18.6,4.5,277,32.1
840.9,1650,18.5,4.5,277,32.1
840.4,1655,18.5,4.4,277,32.1
839.9,1661,18.4,4.4,278,32.1
839.3,1666,18.3,4.4,278,32.1
838.8,1672,18.3,4.4,278,32.1
838.2,1677,18.2,4.4,278,32.1
837.7,1683,18.2,4.4,278,32.1
837.3,1688,18.1,4.3,278,32.1
836.8,1692,18.1,4.3,278,32.1
836.4,1697,18.1,4.2,278,32.1
835.9,1702,18,4.2,278,32.3
835.3,1707,18,4.2,278,32.3
834.8,1713,17.9,4.1,278,32.3
834.2,1719,17.9,4.1,278,32.3
833.7,1724,17.8,4.1,278,32.5
833.2,1729,17.8,4.1,278,32.5
832.8,1733,17.7,4.1,278,32.5
832.4,1737,17.7,4.1,279,32.7
832,1742,17.6,4.1,279,32.7
831.4,1747,17.6,4.1,279,32.7
830.8,1754,17.5,4.1,279,32.7
830.1,1761,17.5,4.1,279,32.9
829.5,1767,17.4,4.1,279,32.9
828.9,1773,17.4,4,279,32.9
828.4,1778,17.3,4,279,33
828,1783,17.3,4,279,33
827.5,1787,17.2,4,280,33
827.1,1792,17.2,3.9,280,33
826.6,1797,17.1,3.9,280,33.2
826,1803,17.1,3.9,280,33.2
825.5,1809,17,3.9,280,33.2
824.9,1815,17,3.9,280,33.2
824.4,1819,16.9,3.9,280,33.2
824,1824,16.8,3.8,280,33.4
823.6,1828,16.8,3.8,281,33.4
823.2,1832,16.7,3.9,281,33.4
822.8,1837,16.7,3.9,281,33.4
822.2,1842,16.6,3.9,281,33.4
821.6,1848,16.6,3.9,281,33.4
821.1,1854,16.5,3.8,281,33.6
820.5,1860,16.5,3.8,281,33.6
820.1,1865,16.4,3.7,281,33.6
819.6,1869,16.4,3.7,281,33.6
819.2,1874,16.3,3.7,281,33.6
818.7,1879,16.3,3.8,281,33.6
818.1,1884,16.2,3.7,281,33.6
817.6,1890,16.2,3.7,281,33.8
817,1896,16.1,3.7,281,33.8
816.5,1902,16.1,3.7,281,33.8
815.9,1908,16,3.6,281,33.8
815.3,1914,15.9,3.6,281,33.8
814.7,1920,15.9,3.6,281,33.8
814.2,1925,15.8,3.6,281,33.8
813.8,1930,15.8,3.5,281,33.8
813.3,1935,15.8,3.3,280,33.8
812.8,1940,15.7,3.1,280,33.6
812.3,1946,15.7,2.9,280,33.6
811.8,1951,15.7,2.9,280,33.6
811.3,1956,15.6,2.9,280,33.6
810.8,1961,15.6,3,280,33.6
810.2,1967,15.5,3,279,33.4
809.7,1973,15.5,3,279,33.4
809.3,1977,15.4,2.9,279,33.4
808.9,1981,15.4,2.8,279,33.2
808.6,1984,15.3,2.8,279,33.2
808.2,1988,15.3,2.8,279,33
807.8,1992,15.3,2.8,279,33
807.4,1996,15.2,2.8,279,32.9
807,2001,15.2,2.9,279,32.9
806.5,2006,15.1,3,279,32.7
806.1,2011,15.1,3,279,32.7
805.6,2016,15,2.9,279,32.5
805.1,2021,15,2.9,279,32.5
804.5,2027,14.9,2.9,279,32.5
804,2032,14.9,2.9,279,32.3
803.5,2037,14.8,2.9,279,32.3
803.1,2042,14.8,2.9,279,32.1
802.7,2046,14.7,2.8,279,32.1
802.3,2050,14.7,2.8,279,32.1
801.9,2055,14.7,2.8,279,31.9
801.3,2061,14.6,2.8,279,31.9
800.7,2067,14.6,2.8,280,31.9
800.1,2073,14.5,2.8,280,31.9
799.5,2080,14.4,2.8,280,31.9
798.9,2086,14.4,2.8,280,31.9
798.4,2091,14.3,2.7,280,31.9
797.9,2096,14.3,2.7,280,31.9
797.5,2102,14.3,2.6,280,31.9
797,2107,14.2,2.6,280,32.1
796.5,2111,14.2,2.6,280,32.1
796.1,2116,14.1,2.6,280,32.1
795.7,2120,14.1,2.6,280,32.3
795.2,2126,14,2.6,280,32.3
794.7,2131,14,2.5,280,32.3
794.2,2136,13.9,2.5,280,32.5
793.7,2141,13.9,2.5,280,32.5
793.2,2147,13.8,2.6,280,32.5
792.6,2153,13.7,2.7,280,32.7
791.9,2160,13.7,2.6,280,32.7
791.3,2167,13.6,2.6,280,32.9
790.8,2172,13.6,2.5,280,32.9
790.3,2177,13.5,2.5,279,32.9
789.9,2182,13.5,2.5,279,32.9
789.4,2187,13.4,2.6,279,32.9
789,2192,13.4,2.6,279,32.9
788.5,2196,13.3,2.5,279,32.9
788,2202,13.3,2.5,278,32.9
787.5,2208,13.2,2.5,278,32.9
786.9,2213,13.2,2.5,278,32.9
786.4,2219,13.1,2.6,278,32.9
786,2223,13.1,2.7,278,32.7
785.6,2227,13,2.7,277,32.7
785.2,2232,13,2.7,277,32.5
784.8,2237,12.9,2.6,277,32.5
784.2,2243,12.9,2.6,277,32.3
783.6,2249,12.8,2.6,277,32.3
783.1,2255,12.8,2.6,277,32.1
782.5,2260,12.7,2.6,277,32.1
782.1,2265,12.7,2.7,277,31.9
781.6,2270,12.6,2.7,277,31.9
781.2,2275,12.6,2.7,277,31.7
780.7,2280,12.5,2.7,277,31.7
780.2,2286,12.5,2.6,277,31.5
779.6,2292,12.4,2.5,277,31.5
779,2299,12.4,2.5,277,31.5
778.4,2305,12.3,2.5,277,31.5
777.9,2310,12.3,2.5,277,31.3
777.4,2316,12.2,2.4,278,31.5
776.9,2321,12.2,2.4,278,31.5
776.3,2328,12.2,2.4,278,31.5
775.6,2335,12.1,2.5,278,31.5
775,2342,12,2.5,278,31.7
774.3,2350,12,2.4,278,31.9
773.6,2357,11.9,2.4,278,31.9
773,2363,11.8,2.2,278,32.1
772.5,2369,11.8,2.2,278,32.3
771.9,2375,11.8,2.2,278,32.5
771.5,2380,11.7,2.2,278,32.7
771.1,2384,11.7,2.2,278,32.9
770.8,2388,11.6,2.2,278,33
770.3,2392,11.6,2.3,277,33.4
769.9,2397,11.6,2.3,277,33.6
769.4,2402,11.5,2.3,277,33.8
769,2407,11.5,2.2,277,34
768.5,2412,11.5,2.1,277,34.2
768.1,2417,11.4,2,277,34.6
767.6,2422,11.4,1.9,277,34.8
767.2,2427,11.4,1.9,277,35
766.7,2431,11.4,1.9,277,35.2
766.3,2436,11.3,1.8,276,35.4
765.9,2440,11.3,1.6,276,35.6
765.5,2445,11.3,1.5,276,35.8
765.1,2449,11.3,1.4,276,35.8
764.8,2453,11.3,1.2,276,36
764.4,2457,11.3,1.1,276,36.2
763.9,2462,11.2,1.1,276,36.2
763.4,2468,11.2,1.1,276,36.3
762.9,2473,11.1,1.1,276,36.3
762.4,2478,11.1,1,276,36.5
761.9,2484,11,1,276,36.5
761.4,2490,11,1,276,36.5
760.8,2496,10.9,0.9,276,36.5
760.3,2502,10.9,0.8,276,36.7
759.8,2507,10.8,0.8,276,36.7
759.3,2513,10.8,0.8,276,36.7
758.8,2518,10.7,0.7,276,36.7
758.3,2524,10.7,0.6,276,36.7
757.8,2529,10.6,0.5,276,36.9
757.3,2534,10.6,0.4,276,36.9
756.9,2540,10.6,0.3,276,36.9
756.4,2545,10.5,0.3,276,37.1
755.9,2550,10.5,0.3,276,37.1
755.4,2555,10.4,0.4,276,37.3
754.9,2561,10.4,0.4,276,37.3
754.4,2566,10.3,0.4,276,37.5
754,2572,10.3,0.4,276,37.5
753.5,2577,10.2,0.4,276,37.7
753,2582,10.2,0.3,276,37.9
752.5,2587,10.1,0.2,276,38.1
752,2593,10.1,0,276,38.3
751.5,2598,10.1,-0.1,276,38.5
751.1,2604,10.1,-0.3,276,38.7
750.6,2609,10,-0.3,276,38.9
750.1,2614,10,-0.5,276,39.1
749.7,2619,10,-0.6,276,39.3
749.2,2624,10,-0.6,276,39.5
748.7,2630,9.9,-0.6,276,39.7
748.2,2635,9.9,-0.7,276,39.8
747.8,2640,9.9,-0.8,276,40
747.3,2645,9.9,-0.9,276,40.2
746.9,2650,9.8,-0.9,275,40.4
746.4,2655,9.8,-1,275,40.6
745.9,2661,9.7,-1.1,275,40.8
745.4,2666,9.8,-1.4,275,41
744.9,2672,9.8,-1.7,275,41.2
744.4,2678,9.8,-1.7,275,41.4
743.9,2683,9.7,-1.8,275,41.6
743.4,2689,9.7,-1.9,275,41.8
742.9,2695,9.7,-2.1,275,42
742.4,2700,9.7,-2.2,275,42.2
741.9,2706,9.7,-2.3,275,42.6
741.4,2711,9.6,-2.4,275,42.8
740.9,2717,9.6,-2.4,275,43
740.3,2723,9.5,-2.4,275,43.2
739.8,2729,9.5,-2.4,275,43.3
739.3,2734,9.4,-2.4,275,43.5
738.9,2740,9.4,-2.5,275,43.7
738.4,2745,9.3,-2.6,276,44.1
737.9,2750,9.3,-2.7,276,44.3
737.4,2756,9.3,-2.8,276,44.5
736.9,2761,9.2,-3,276,44.7
736.5,2767,9.2,-3.3,276,45.1
736,2772,9.2,-3.4,276,45.3
735.6,2777,9.2,-3.5,276,45.7
735.2,2781,9.2,-3.6,276,45.9
734.8,2786,9.2,-3.5,276,46.1
734.4,2790,9.1,-3.4,277,46.5
733.9,2795,9,-3.4,277,46.7
733.5,2800,9,-3.6,277,46.8
733,2805,9,-3.8,277,47
732.6,2810,9,-4.1,277,47.4
732.1,2816,9,-4.4,277,47.6
731.7,2821,9,-4.6,277,47.8
731.2,2826,9,-4.6,277,48
730.8,2831,8.9,-4.6,277,48.2
730.3,2836,8.9,-4.6,277,48.2
729.7,2843,8.8,-4.7,277,48.4
729.1,2849,8.8,-4.9,277,48.6
728.6,2856,8.7,-5.1,277,48.6
728,2862,8.7,-5.2,277,48.8
727.5,2868,8.7,-5.3,277,48.8
727,2873,8.6,-5.3,277,48.8
726.6,2878,8.5,-5.4,277,49
726.2,2883,8.5,-5.5,277,49
725.7,2888,8.5,-5.6,277,49
725.1,2895,8.4,-5.9,277,49
724.6,2901,8.4,-6.1,277,49
724,2907,8.4,-6.1,277,49
723.5,2913,8.3,-6,277,49
723.1,2918,8.3,-6.1,277,49.2
722.6,2924,8.2,-6.3,276,49.2
722.1,2929,8.2,-6.5,276,49.2
721.6,2935,8.2,-6.5,276,49.2
721.1,2941,8.1,-6.5,276,49.4
720.5,2948,8,-6.4,276,49.4
720,2954,8,-6.3,276,49.4
719.4,2960,7.9,-6.3,276,49.6
718.9,2966,7.8,-6.5,276,49.8
718.4,2972,7.8,-6.8,276,49.8
717.9,2978,7.8,-7,276,50
717.3,2984,7.7,-7,276,50.2
716.7,2991,7.7,-7.1,276,50.3
716.1,2998,7.6,-7.3,276,50.5
715.5,3005,7.6,-7.6,276,50.7
715,3011,7.6,-7.9,276,50.9
714.6,3016,7.5,-8,277,51.1
714.2,3020,7.5,-8,277,51.3
713.7,3025,7.4,-8.1,277,51.5
713.3,3031,7.4,-8.2,277,51.5
712.8,3036,7.3,-8.3,277,51.7
712.3,3042,7.3,-8.5,277,51.9
711.8,3047,7.3,-8.8,277,52.1
711.4,3052,7.3,-9.2,277,52.3
711,3057,7.3,-9.3,277,52.5
710.6,3061,7.3,-9.3,277,52.7
710.2,3066,7.2,-9.2,277,52.9
709.8,3070,7.2,-9.2,277,53.1
709.4,3075,7.1,-9.2,277,53.3
709,3081,7.1,-9.2,277,53.3
708.5,3086,7,-9.2,277,53.5
708,3092,7,-9.2,277,53.6
707.5,3098,6.9,-9.2,278,53.8
707,3103,6.8,-9.2,278,53.8
706.5,3109,6.8,-9.3,278,54
706.1,3114,6.7,-9.6,278,54.2
705.6,3119,6.7,-10,278,54.4
705.1,3125,6.8,-10.4,278,54.4
704.6,3131,6.7,-10.4,278,54.6
704.2,3136,6.7,-10.3,278,54.8
703.7,3142,6.6,-10.4,278,54.8
703.2,3147,6.6,-10.8,278,55
702.8,3153,6.6,-11.5,278,55.2
702.3,3158,6.7,-12.3,278,55.2
701.8,3164,6.7,-12.8,278,55.4
701.3,3170,6.7,-13.1,278,55.6
700.8,3175,6.6,-13.2,278,55.6
700.4,3181,6.6,-13.3,278,55.8
700,3185,6.6,-13.3,278,55.8
699.7,3189,6.6,-13.5,277,56
699.4,3192,6.5,-13.7,277,56
699.1,3195,6.5,-13.9,277,56.2
698.7,3200,6.5,-14.1,277,56.2
698.1,3208,6.4,-14.2,277,56.2
697.4,3215,6.4,-14.4,277,56.4
696.8,3223,6.4,-14.6,277,56.4
696.2,3229,6.4,-14.8,277,56.6
695.8,3235,6.3,-15.1,277,56.6
695.4,3239,6.3,-15.4,277,56.6
695.1,3243,6.3,-15.6,277,56.8
694.8,3247,6.3,-15.6,277,56.8
694.4,3250,6.3,-15.6,277,57
694.1,3255,6.3,-15.6,277,57
693.6,3260,6.2,-15.6,277,57
693.2,3265,6.2,-15.6,277,57.1
692.8,3270,6.2,-15.6,277,57.1
692.3,3275,6.1,-15.6,277,57.3
691.8,3281,6.1,-15.8,277,57.5
691.3,3287,6,-15.9,276,57.5
690.8,3293,6,-15.9,276,57.7
690.4,3298,5.9,-16,276,57.7
689.9,3304,5.9,-16.1,276,57.9
689.5,3308,5.9,-16.1,276,57.9
689.1,3313,5.8,-16.2,276,58.1
688.7,3318,5.8,-16.2,276,58.1
688.3,3323,5.7,-16.2,276,58.3
687.9,3328,5.7,-16.3,276,58.3
687.5,3333,5.7,-16.4,276,58.5
687.1,3338,5.7,-16.6,276,58.5
686.6,3343,5.6,-16.7,276,58.5
686.1,3349,5.6,-16.9,276,58.5
685.7,3354,5.6,-17.1,276,58.7
685.3,3359,5.6,-17.2,276,58.7
684.9,3364,5.6,-17.4,276,58.7
684.5,3368,5.6,-17.7,276,58.7
684.1,3373,5.6,-18,276,58.7
683.7,3378,5.6,-18.2,276,58.7
683.2,3383,5.6,-18.2,276,58.7
682.8,3388,5.6,-18.3,276,58.7
682.5,3392,5.6,-18.4,276,58.7
682.1,3397,5.5,-18.5,275,58.7
681.7,3401,5.5,-18.5,275,58.7
681.4,3406,5.5,-18.6,275,58.7
681,3410,5.5,-18.8,275,58.7
680.6,3415,5.4,-18.9,275,58.9
680.3,3419,5.4,-19,275,58.9
679.9,3423,5.4,-19.1,274,58.9
679.6,3427,5.3,-19.1,274,59.1
679.3,3431,5.3,-19.2,274,59.1
678.9,3435,5.3,-19.3,274,59.3
678.4,3441,5.2,-19.5,273,59.5
677.7,3450,5.2,-19.8,273,59.5
676.8,3460,5.3,-20.2,273,59.7
676.1,3469,5.3,-20.7,272,59.9
675.9,3471,5.4,-21,272,59.9
675.8,3472,5.4,-21,272,60.1
675.4,3477,5.4,-20.8,271,60.3
675,3482,5.4,-20.7,271,60.5
674.6,3487,5.3,-20.7,271,60.5
674.1,3493,5.3,-20.7,271,60.6
673.7,3498,5.2,-20.4,271,60.8
673.2,3504,5.2,-20.1,270,60.8
672.8,3509,5.2,-19.8,270,61
672.3,3515,5.2,-19.6,270,61
671.9,3520,5.1,-19.3,270,61
671.4,3526,5.1,-19,270,61
671,3531,5.1,-18.9,269,61
670.5,3536,5,-18.9,269,61
670.2,3541,5,-18.9,269,61
669.8,3545,5,-18.7,269,61
669.4,3550,4.9,-18.6,269,61
669,3555,4.9,-18.6,269,60.8
668.5,3561,4.9,-18.8,269,60.8
668.1,3566,4.8,-19,269,60.6
667.7,3571,4.8,-19.1,269,60.6
667.3,3576,4.8,-19,269,60.5
666.9,3580,4.8,-18.7,269,60.5
666.5,3585,4.8,-18,269,60.3
666.2,3590,4.7,-17.4,269,60.3
665.8,3594,4.7,-17.1,269,60.1
665.5,3598,4.7,-16.6,269,59.9
665.1,3603,4.6,-15.5,269,59.9
664.6,3609,4.6,-14.3,269,59.7
664.1,3615,4.6,-13.1,269,59.7
663.5,3622,4.5,-12.5,269,59.7
663.1,3627,4.5,-12.4,269,59.5
662.8,3631,4.5,-12.4,269,59.5
662.5,3634,4.4,-12.4,269,59.3
662.2,3638,4.4,-12.3,269,59.3
661.9,3642,4.3,-12.4,269,59.3
661.5,3647,4.3,-12.4,269,59.3
661,3653,4.2,-12.3,269,59.1
660.5,3659,4.2,-12.4,269,59.1
660,3665,4.1,-12.4,269,59.1
659.7,3669,4.1,-12.4,269,59.1
659.4,3673,4.1,-12.5,269,58.9
